,归集成交id,成交价,成交量,归集首个id,归集末个id,成交时间,是否主卖,最优戳和,UTC时间,北京时间
,a,p,q,f,l,T,m,M,datetime_utc,datetime_bj
0,2783515814,43903.74,0.00104,3314657946,3314657946,1.70222E+12,FALSE,TRUE,00:00.0,2023-12-11 00:00:00+08:00
1,2783515815,43903.74,0.0021,3314657947,3314657947,1.70222E+12,FALSE,TRUE,00:00.0,2023-12-11 00:00:00.003000+08:00
2,2783515816,43903.74,0.00168,3314657948,3314657948,1.70222E+12,FALSE,TRUE,00:00.0,2023-12-11 00:00:00.003000+08:00
3,2783515817,43903.74,0.00062,3314657949,3314657949,1.70222E+12,FALSE,TRUE,00:00.0,2023-12-11 00:00:00.005000+08:00
4,2783515818,43903.74,0.00202,3314657950,3314657950,1.70222E+12,FALSE,TRUE,00:00.0,2023-12-11 00:00:00.005000+08:00
5,2783515819,43903.73,0.00223,3314657951,3314657951,1.70222E+12,TRUE,TRUE,00:00.0,2023-12-11 00:00:00.005000+08:00
6,2783515820,43903.74,0.00082,3314657952,3314657952,1.70222E+12,FALSE,TRUE,00:00.0,2023-12-11 00:00:00.007000+08:00
7,2783515821,43903.73,0.00038,3314657953,3314657953,1.70222E+12,TRUE,TRUE,00:00.0,2023-12-11 00:00:00.007000+08:00
8,2783515822,43903.73,0.0017,3314657954,3314657954,1.70222E+12,TRUE,TRUE,00:00.0,2023-12-11 00:00:00.008000+08:00
9,2783515823,43903.74,0.0015,3314657955,3314657955,1.70222E+12,FALSE,TRUE,00:00.0,2023-12-11 00:00:00.008000+08:00
10,2783515824,43903.74,0.00064,3314657956,3314657956,1.70222E+12,FALSE,TRUE,00:00.0,2023-12-11 00:00:00.009000+08:00
11,2783515825,43903.73,0.00049,3314657957,3314657957,1.70222E+12,TRUE,TRUE,00:00.0,2023-12-11 00:00:00.009000+08:00
12,2783515826,43903.73,0.00186,3314657958,3314657958,1.70222E+12,TRUE,TRUE,00:00.0,2023-12-11 00:00:00.009000+08:00
13,2783515827,43903.73,0.00234,3314657959,3314657959,1.70222E+12,TRUE,TRUE,00:00.0,2023-12-11 00:00:00.010000+08:00
14,2783515828,43903.73,0.00249,3314657960,3314657960,1.70222E+12,TRUE,TRUE,00:00.0,2023-12-11 00:00:00.010000+08:00
15,2783515829,43903.74,0.00162,3314657961,3314657961,1.70222E+12,FALSE,TRUE,00:00.0,2023-12-11 00:00:00.010000+08:00
16,2783515830,43903.74,0.00062,3314657962,3314657962,1.70222E+12,FALSE,TRUE,00:00.0,2023-12-11 00:00:00.010000+08:00
17,2783515831,43903.73,0.00136,3314657963,3314657963,1.70222E+12,TRUE,TRUE,00:00.0,2023-12-11 00:00:00.011000+08:00
18,2783515832,43903.74,0.00089,3314657964,3314657964,1.70222E+12,FALSE,TRUE,00:00.0,2023-12-11 00:00:00.011000+08:00
19,2783515833,43903.73,0.00137,3314657965,3314657965,1.70222E+12,TRUE,TRUE,00:00.0,2023-12-11 00:00:00.011000+08:00
20,2783515834,43903.73,0.00147,3314657966,3314657966,1.70222E+12,TRUE,TRUE,00:00.0,2023-12-11 00:00:00.012000+08:00
21,2783515835,43903.74,0.00213,3314657967,3314657967,1.70222E+12,FALSE,TRUE,00:00.0,2023-12-11 00:00:00.013000+08:00
22,2783515836,43903.73,0.00224,3314657968,3314657968,1.70222E+12,TRUE,TRUE,00:00.0,2023-12-11 00:00:00.013000+08:00
