,Unnamed: 0,unix_s,low,high,open,close,volume,UTC_datetime,Beijing_datetime
27,27,1620086400,53053.87,56617.7,55608.4,53053.87,253.46247937,2021-05-04,2021-05-04 08:00:00
26,26,1620172800,52938.8,57933.11,53042.22,57486.84,269.34123492,2021-05-05,2021-05-05 08:00:00
25,25,1620259200,55262.28,58361.4,57496.57,56409.6,468.83760636,2021-05-06,2021-05-06 08:00:00
24,24,1620345600,55255.2,58649.79,56429.6,57330.6,456.67921225,2021-05-07,2021-05-07 08:00:00
23,23,1620432000,56959.23,59492.81,57353.12,58865.94,348.77001697,2021-05-08,2021-05-08 08:00:00
22,22,1620518400,56251.89,59204.23,58865.94,58224.89,493.60263714,2021-05-09,2021-05-09 08:00:00
21,21,1620604800,53545.31,59518.7,58259.8,55820.83,885.92251183,2021-05-10,2021-05-10 08:00:00
20,20,1620691200,54462.97,56861.91,55800.99,56703.42,680.03768078,2021-05-11,2021-05-11 08:00:00
19,19,1620777600,48517.41,57970.0,56703.47,49457.05,905.10678218,2021-05-12,2021-05-12 08:00:00
18,18,1620864000,45860.4,51344.23,49442.75,49669.89,1723.27096602,2021-05-13,2021-05-13 08:00:00
17,17,1620950400,48846.35,51445.85,49645.48,49859.84,695.4178542,2021-05-14,2021-05-14 08:00:00
16,16,1621036800,46566.4,50662.49,49859.84,46689.31,650.03037881,2021-05-15,2021-05-15 08:00:00
15,15,1621123200,43570.94,49812.04,46742.27,46408.82,1114.26338828,2021-05-16,2021-05-16 08:00:00
14,14,1621209600,41848.11,46583.52,46413.12,43519.78,1922.62256711,2021-05-17,2021-05-17 08:00:00
13,13,1621296000,42262.22,45844.47,43695.22,42884.82,1081.88933614,2021-05-18,2021-05-18 08:00:00
12,12,1621382400,28907.8,43553.19,42856.22,36655.42,3742.40916439,2021-05-19,2021-05-19 08:00:00
11,11,1621468800,34941.5,42448.3,36674.02,40505.44,3353.06470482,2021-05-20,2021-05-20 08:00:00
10,10,1621555200,33340.0,42199.99,40502.05,37247.0,4242.67850751,2021-05-21,2021-05-21 08:00:00
9,9,1621641600,35225.53,38847.32,37232.61,37446.87,2492.29827641,2021-05-22,2021-05-22 08:00:00
8,8,1621728000,31059.58,38262.88,37427.31,34671.11,2474.09816913,2021-05-23,2021-05-23 08:00:00
