,0
BTCUSDT,2017-08-17 04:00:28.322000
ETHUSDT,2017-08-17 04:00:29.884000
BNBUSDT,2017-11-06 03:54:23.590000
BCCUSDT,2017-11-11 08:28:51.074000
NEOUSDT,2017-11-20 03:42:55.114000
LTCUSDT,2017-12-13 03:32:34.874000
QTUMUSDT,2018-03-19 08:48:25.851000
ADAUSDT,2018-04-17 04:02:33.168000
XRPUSDT,2018-05-04 08:11:31.418000
EOSUSDT,2018-05-28 05:00:05.570000
TUSDUSDT,2018-05-31 09:32:48.750000
IOTAUSDT,2018-05-31 09:30:10.952000
XLMUSDT,2018-05-31 09:30:34.691000
ONTUSDT,2018-06-08 07:00:30.981000
TRXUSDT,2018-06-11 11:30:05.215000
ETCUSDT,2018-06-12 02:30:33.242000
ICXUSDT,2018-06-13 08:01:23.557000
VENUSDT,2018-06-22 08:00:45.206000
NULSUSDT,2018-07-23 04:02:01.914000
VETUSDT,2018-07-25 04:00:03.941000
PAXUSDT,2018-10-04 10:00:48.306000
BCHABCUSDT,2018-11-16 08:00:05.364000
BCHSVUSDT,2018-11-16 08:00:03.187000
USDCUSDT,2018-12-15 03:12:19.234000
LINKUSDT,2019-01-16 10:00:52.263000
WAVESUSDT,2019-01-18 10:00:15.893000
BTTUSDT,2019-01-31 10:00:01.467000
USDSUSDT,2019-02-14 10:00:20.399000
ONGUSDT,2019-02-16 10:04:21.957000
HOTUSDT,2019-02-18 10:00:01.950000
ZILUSDT,2019-02-19 11:04:41.833000
ZRXUSDT,2019-02-28 04:00:06.882000
FETUSDT,2019-02-28 10:00:00.034000
BATUSDT,2019-03-04 10:00:10.609000
XMRUSDT,2019-03-15 04:00:24.994000
ZECUSDT,2019-03-21 04:00:01.362000
IOSTUSDT,2019-03-22 04:08:36.675000
CELRUSDT,2019-03-25 04:00:00.147000
DASHUSDT,2019-03-28 04:00:09.538000
NANOUSDT,2019-04-03 04:00:03.316000
OMGUSDT,2019-04-03 04:00:03.569000
THETAUSDT,2019-04-10 04:00:02.213000
ENJUSDT,2019-04-18 04:00:02.420000
MITHUSDT,2019-04-19 10:00:01.290000
MATICUSDT,2019-04-26 15:00:00.149000
ATOMUSDT,2019-04-29 04:00:01.391000
TFUELUSDT,2019-05-24 10:00:00.655000
ONEUSDT,2019-06-01 04:00:00.157000
FTMUSDT,2019-06-11 04:00:00.313000
ALGOUSDT,2019-06-22 00:00:01.408000
USDSBUSDT,2019-06-24 10:21:28.082000
GTOUSDT,2019-07-01 11:00:02.331000
ERDUSDT,2019-07-04 08:00:00.106000
DOGEUSDT,2019-07-05 12:00:01.957000
DUSKUSDT,2019-07-22 10:00:04.554000
ANKRUSDT,2019-07-23 14:00:04.357000
WINUSDT,2019-08-01 10:00:00.321000
COSUSDT,2019-08-03 10:00:01.035000
NPXSUSDT,2019-08-13 11:00:02.125000
COCOSUSDT,2019-08-21 11:00:01.651000
MTLUSDT,2019-08-23 10:00:04.056000
TOMOUSDT,2019-08-24 13:00:04.045000
PERLUSDT,2019-08-26 12:00:00
DENTUSDT,2019-08-27 04:00:07.071000
MFTUSDT,2019-08-27 04:00:09.208000
KEYUSDT,2019-08-27 04:00:07.663000
STORMUSDT,2019-08-27 04:00:07.308000
DOCKUSDT,2019-08-27 04:00:07.418000
WANUSDT,2019-08-27 04:00:07.685000
FUNUSDT,2019-08-27 04:00:07.316000
CVCUSDT,2019-08-27 04:00:07.339000
CHZUSDT,2019-09-06 04:00:00
BANDUSDT,2019-09-18 12:00:00
BUSDUSDT,2019-09-20 08:00:05.071000
BEAMUSDT,2019-09-21 12:00:00
XTZUSDT,2019-09-24 11:00:00
RENUSDT,2019-09-25 12:00:10.518000
RVNUSDT,2019-09-25 12:00:12.771000
HCUSDT,2019-09-25 12:00:10.738000
HBARUSDT,2019-09-29 04:00:00
NKNUSDT,2019-10-11 14:00:01.224000
STXUSDT,2019-10-25 04:00:00
KAVAUSDT,2019-10-25 02:00:00
ARPAUSDT,2019-11-06 14:00:00
IOTXUSDT,2019-11-14 03:00:01.252000
RLCUSDT,2019-11-14 03:00:10.825000
MCOUSDT,2019-11-19 10:00:02.640000
CTXCUSDT,2019-11-22 14:00:00
BCHUSDT,2019-11-28 10:00:00
TROYUSDT,2019-12-05 02:00:00
VITEUSDT,2019-12-13 14:00:00
FTTUSDT,2019-12-20 03:00:00
EURUSDT,2020-01-03 08:00:00
OGNUSDT,2020-01-09 03:00:00
DREPUSDT,2020-01-16 14:00:00
BULLUSDT,2020-01-17 12:00:00
BEARUSDT,2020-01-17 12:00:00
ETHBULLUSDT,2020-01-17 12:00:00
ETHBEARUSDT,2020-01-17 12:00:00
TCTUSDT,2020-01-21 14:00:00
WRXUSDT,2020-02-05 02:00:00
BTSUSDT,2020-02-06 10:00:00
LSKUSDT,2020-02-06 10:00:00
BNTUSDT,2020-02-06 10:00:00
LTOUSDT,2020-02-07 14:00:00
EOSBULLUSDT,2020-02-12 08:00:00
EOSBEARUSDT,2020-02-12 08:00:00
XRPBULLUSDT,2020-02-12 08:00:00
XRPBEARUSDT,2020-02-12 08:00:00
STRATUSDT,2020-02-19 09:00:00
AIONUSDT,2020-02-19 09:00:00
MBLUSDT,2020-02-21 14:00:00
COTIUSDT,2020-02-26 14:00:00
BNBBULLUSDT,2020-03-11 07:00:00
BNBBEARUSDT,2020-03-11 07:00:00
STPTUSDT,2020-03-25 14:00:00
